Pptno,Gender,Age,NoTargets,TrialType,Hits,FA,Misses,TrialLength,ExpCond,TotalErrors
426,2,19,6,1,5,2,1,18.510248,Deception,3
426,2,19,8,3,7,1,1,23.362999,Deception,2
426,2,19,6,3,3,0,3,21.301069,Deception,3
426,2,19,4,3,4,1,0,35.993397,Deception,1
426,2,19,8,1,1,0,7,27.466903,Deception,7
426,2,19,4,1,2,3,2,26.121566,Deception,5
426,2,19,6,2,1,1,5,29.604976,Deception,6
426,2,19,8,2,5,3,3,23.142052,Deception,6
426,2,19,4,2,1,0,3,35.320944,Deception,3
426,2,19,6,3,0,0,6,1.4705305,Deception,6
426,2,19,6,3,3,0,3,13.860591,Deception,3
426,2,19,8,1,2,1,6,29.690345,Deception,7
426,2,19,8,2,2,0,6,19.272092,Deception,6
426,2,19,4,1,0,4,4,25.686966,Deception,8
426,2,19,6,1,2,1,4,26.252348,Deception,5
426,2,19,8,2,2,3,6,30.753112,Deception,9
426,2,19,4,2,4,36,0,43.012165,Deception,36
426,2,19,4,3,2,1,2,32.224899,Deception,3
425,1,19,8,3,2,1,6,14.891437,Deception,7
425,1,19,6,1,2,1,4,19.593307,Deception,5
425,1,19,6,2,5,0,1,29.825988,Deception,1
425,1,19,4,2,0,7,4,24.666823,Deception,11
425,1,19,6,2,6,1,0,20.129994,Deception,1
425,1,19,6,2,3,3,3,22.581971,Deception,6
425,1,19,6,1,2,1,4,12.255656,Deception,5
425,1,19,4,1,2,4,2,20.53372,Deception,6
425,1,19,4,2,3,1,1,16.913702,Deception,2
425,1,19,8,3,5,3,3,26.462457,Deception,6
425,1,19,8,3,4,2,4,23.310005,Deception,6
425,1,19,8,3,4,6,4,20.274719,Deception,10
425,1,19,8,1,7,1,1,15.938124,Deception,2
425,1,19,8,3,7,0,1,20.908547,Deception,1
425,1,19,6,2,2,7,4,17.850311,Deception,11
425,1,19,4,1,1,0,3,21.048843,Deception,3
425,1,19,4,3,2,7,2,24.696194,Deception,9
425,1,19,4,1,2,1,2,22.598135,Deception,3
424,2,19,8,1,0,0,8,15.983676,Deception,8
424,2,19,6,3,3,0,3,51.191435,Deception,3
424,2,19,4,2,4,2,0,24.866708,Deception,2
424,2,19,8,2,3,2,5,58.224343,Deception,7
424,2,19,6,1,3,2,3,44.20881,Deception,5
424,2,19,4,2,4,2,0,26.291191,Deception,2
424,2,19,6,3,0,1,6,14.881534,Deception,7
424,2,19,6,2,2,2,4,17.918938,Deception,6
424,2,19,8,1,0,4,8,23.915631,Deception,12
424,2,19,4,3,3,0,1,25.591778,Deception,1
424,2,19,4,3,3,3,1,32.241531,Deception,4
424,2,19,8,2,0,2,8,17.793117,Deception,10
424,2,19,4,1,0,2,4,31.13047,Deception,6
424,2,19,4,3,3,1,1,19.302761,Deception,2
424,2,19,8,1,4,0,4,23.548246,Deception,4
424,2,19,6,2,1,2,5,31.590633,Deception,7
424,2,19,8,3,1,4,7,37.375784,Deception,11
424,2,19,6,1,0,3,6,44.826022,Deception,9
423,1,18,8,1,1,1,7,37.884981,Deception,8
423,1,18,4,3,3,2,1,39.06689,Deception,3
423,1,18,8,3,5,0,3,67.199983,Deception,3
423,1,18,6,2,1,3,5,47.842549,Deception,8
423,1,18,4,3,0,2,4,48.138863,Deception,6
423,1,18,4,2,0,4,4,42.087352,Deception,8
423,1,18,6,3,4,1,2,27.566763,Deception,3
423,1,18,6,1,2,0,4,27.28095,Deception,4
423,1,18,8,2,4,1,4,30.566104,Deception,5
423,1,18,8,3,6,0,2,35.456581,Deception,2
423,1,18,6,1,3,1,3,46.759684,Deception,4
423,1,18,8,2,3,1,5,67.801536,Deception,6
423,1,18,4,1,1,1,3,48.612192,Deception,4
423,1,18,6,2,2,0,4,34.741414,Deception,4
423,1,18,4,2,1,2,3,32.665275,Deception,5
423,1,18,4,3,0,3,4,14.304864,Deception,7
423,1,18,6,1,4,0,2,28.253357,Deception,2
423,1,18,8,1,0,2,8,10.58126,Deception,10
422,1,18,8,2,5,0,3,25.283818,Deception,3
422,1,18,4,2,1,0,3,16.29839,Deception,3
422,1,18,8,2,4,0,4,26.640056,Deception,4
422,1,18,8,2,2,0,6,22.648398,Deception,6
422,1,18,6,1,2,1,4,20.959342,Deception,5
422,1,18,4,1,1,0,3,18.403077,Deception,3
422,1,18,6,1,6,0,0,24.236027,Deception,0
422,1,18,6,3,1,5,5,28.638091,Deception,10
422,1,18,6,2,5,0,1,26.125777,Deception,1
422,1,18,4,1,0,2,4,27.434704,Deception,6
422,1,18,4,2,3,1,1,29.186731,Deception,2
422,1,18,4,3,1,0,3,11.070137,Deception,3
422,1,18,8,1,7,0,1,31.868295,Deception,1
422,1,18,4,3,1,3,3,16.562962,Deception,6
422,1,18,8,3,2,0,6,34.085575,Deception,6
422,1,18,8,1,0,1,8,18.773135,Deception,9
422,1,18,6,3,0,5,6,20.055484,Deception,11
422,1,18,6,3,4,3,2,20.311689,Deception,5
421,2,18,8,2,3,0,5,19.025706,Deception,5
421,2,18,8,1,1,2,7,50.103814,Deception,9
421,2,18,6,3,1,3,5,35.925703,Deception,8
421,2,18,6,2,3,0,3,25.482772,Deception,3
421,2,18,6,3,6,0,0,18.000645,Deception,0
421,2,18,4,3,3,0,1,19.920449,Deception,1
421,2,18,4,3,1,2,3,20.796613,Deception,5
421,2,18,8,2,6,2,2,23.622217,Deception,4
421,2,18,6,2,3,0,3,18.327578,Deception,3
421,2,18,4,1,3,0,1,15.146931,Deception,1
421,2,18,8,1,2,1,6,23.094775,Deception,7
421,2,18,6,3,0,3,6,27.467854,Deception,9
421,2,18,4,1,4,1,0,17.522107,Deception,1
421,2,18,4,1,2,3,2,30.317591,Deception,5
421,2,18,8,2,5,4,3,24.450815,Deception,7
421,2,18,8,1,3,1,5,28.450036,Deception,6
421,2,18,6,2,5,0,1,22.249383,Deception,1
421,2,18,4,3,1,1,3,28.007386,Deception,4
420,1,19,8,3,1,2,7,11.64276,Deception,9
420,1,19,4,2,3,2,1,20.55455,Deception,3
420,1,19,6,2,3,1,3,16.51894,Deception,4
420,1,19,8,1,0,3,8,17.179526,Deception,11
420,1,19,4,3,3,0,1,18.149615,Deception,1
420,1,19,8,1,7,0,1,15.66584,Deception,1
420,1,19,4,2,0,3,4,16.84831,Deception,7
420,1,19,4,3,2,0,2,14.343466,Deception,2
420,1,19,6,1,4,1,2,16.059009,Deception,3
420,1,19,6,3,1,1,5,23.602425,Deception,6
420,1,19,4,2,2,0,2,16.332673,Deception,2
420,1,19,8,3,7,2,1,26.831457,Deception,3
420,1,19,8,3,3,1,5,19.391981,Deception,6
420,1,19,6,2,3,0,3,14.85007,Deception,3
420,1,19,6,2,1,0,5,15.697591,Deception,5
420,1,19,8,1,3,0,5,10.655686,Deception,5
420,1,19,6,1,2,0,4,13.502898,Deception,4
420,1,19,4,1,1,2,3,15.091264,Deception,5
419,1,19,6,3,5,4,1,28.729203,Deception,5
419,1,19,4,2,4,0,0,38.589634,Deception,0
419,1,19,6,1,4,0,2,29.74519,Deception,2
419,1,19,8,2,2,1,6,31.708954,Deception,7
419,1,19,4,1,3,0,1,29.266192,Deception,1
419,1,19,4,2,1,1,3,14.361568,Deception,4
419,1,19,8,1,3,0,5,39.32395,Deception,5
419,1,19,6,2,2,0,4,24.848456,Deception,4
419,1,19,6,3,2,1,4,28.456359,Deception,5
419,1,19,6,3,5,0,1,15.712467,Deception,1
419,1,19,4,2,1,4,3,32.98001,Deception,7
419,1,19,8,1,4,0,4,13.582579,Deception,4
419,1,19,8,1,7,0,1,32.99904,Deception,1
419,1,19,4,1,2,0,2,23.112969,Deception,2
419,1,19,8,2,4,0,4,22.117887,Deception,4
419,1,19,8,3,1,1,7,23.354917,Deception,8
419,1,19,6,3,3,0,3,31.605223,Deception,3
419,1,19,4,3,0,1,4,37.469921,Deception,5
418,2,19,4,2,0,4,4,25.859421,Deception,8
418,2,19,8,3,3,1,5,22.49044,Deception,6
418,2,19,8,2,5,3,3,29.711562,Deception,6
418,2,19,4,3,2,5,2,36.82077,Deception,7
418,2,19,8,1,3,2,5,22.990426,Deception,7
418,2,19,8,2,3,2,5,27.91149,Deception,7
418,2,19,6,2,2,1,4,28.276874,Deception,5
418,2,19,8,1,1,3,7,27.51538,Deception,10
418,2,19,8,3,2,4,6,33.319951,Deception,10
418,2,19,4,3,1,5,3,34.62829,Deception,8
418,2,19,4,3,0,4,4,26.917661,Deception,8
418,2,19,6,1,1,2,5,26.10555,Deception,7
418,2,19,6,1,0,3,6,23.294985,Deception,9
418,2,19,6,1,2,2,4,30.796256,Deception,6
418,2,19,6,2,3,3,3,27.558067,Deception,6
418,2,19,4,2,2,7,2,30.785457,Deception,9
418,2,19,6,3,5,2,1,34.027499,Deception,3
418,2,19,4,1,1,1,3,23.355765,Deception,4
417,1,19,8,2,5,1,3,38.805516,Deception,4
417,1,19,6,3,3,0,3,17.504156,Deception,3
417,1,19,6,1,4,2,2,34.475264,Deception,4
417,1,19,4,1,2,4,2,29.8582,Deception,6
417,1,19,8,3,0,2,8,18.385999,Deception,10
417,1,19,6,3,6,0,0,35.756028,Deception,0
417,1,19,6,2,3,0,3,21.91165,Deception,3
417,1,19,4,2,4,0,0,23.44536,Deception,0
417,1,19,8,1,7,0,1,29.886031,Deception,1
417,1,19,8,2,0,0,8,18.453427,Deception,8
417,1,19,4,3,4,7,0,48.234309,Deception,7
417,1,19,4,2,0,6,4,28.843656,Deception,10
417,1,19,4,1,1,4,3,36.075654,Deception,7
417,1,19,8,3,6,0,2,25.426513,Deception,2
417,1,19,6,3,3,6,3,18.539532,Deception,9
417,1,19,8,1,3,0,5,37.03845,Deception,5
417,1,19,6,1,4,0,2,30.077964,Deception,2
417,1,19,4,2,4,1,0,24.548862,Deception,1
416,1,18,4,1,0,1,4,10.612421,Deception,5
416,1,18,6,2,2,1,4,17.765399,Deception,5
416,1,18,8,3,0,2,8,2.8255086,Deception,10
416,1,18,8,3,0,2,8,3.0733611,Deception,10
416,1,18,6,1,0,2,6,6.1837032,Deception,8
416,1,18,8,1,0,2,8,3.8033349,Deception,10
416,1,18,8,1,0,2,8,2.8033478,Deception,10
416,1,18,6,1,0,1,6,9.5802905,Deception,7
416,1,18,8,3,1,1,7,3.4553422,Deception,8
416,1,18,6,2,0,3,6,4.4945884,Deception,9
416,1,18,6,2,0,3,6,2.4126178,Deception,9
416,1,18,4,3,4,1,0,12.597249,Deception,1
416,1,18,4,3,0,3,4,5.0793362,Deception,7
416,1,18,4,3,0,3,4,2.9501618,Deception,7
416,1,18,6,2,1,2,5,4.9215606,Deception,7
416,1,18,4,2,0,3,4,8.1496673,Deception,7
416,1,18,8,1,0,3,8,20.92833,Deception,11
416,1,18,4,2,2,0,2,1.7260522,Deception,2
415,1,20,6,1,1,3,5,15.670243,Deception,8
415,1,20,4,3,2,6,2,21.156353,Deception,8
415,1,20,8,3,3,2,5,24.238857,Deception,7
415,1,20,8,2,6,0,2,33.477903,Deception,2
415,1,20,8,2,6,3,2,31.523824,Deception,5
415,1,20,6,1,6,1,0,24.383812,Deception,1
415,1,20,4,3,4,5,0,19.225735,Deception,5
415,1,20,8,3,5,2,3,24.017261,Deception,5
415,1,20,6,2,1,4,5,21.561472,Deception,9
415,1,20,6,2,2,1,4,12.292475,Deception,5
415,1,20,4,2,2,6,2,12.273927,Deception,8
415,1,20,6,2,6,1,0,19.272386,Deception,1
415,1,20,4,3,4,4,0,21.654125,Deception,4
415,1,20,6,1,0,1,6,17.196388,Deception,7
415,1,20,4,1,2,1,2,23.96545,Deception,3
415,1,20,8,1,3,1,5,12.200022,Deception,6
415,1,20,8,3,3,3,5,15.921197,Deception,8
415,1,20,4,1,3,4,1,26.076158,Deception,5
414,2,18,6,3,2,6,4,32.757317,Deception,10
414,2,18,4,2,1,4,3,28.017171,Deception,7
414,2,18,6,1,6,6,0,34.512683,Deception,6
414,2,18,8,3,5,2,3,23.741588,Deception,5
414,2,18,4,2,2,7,2,45.407769,Deception,9
414,2,18,4,2,1,6,3,28.770809,Deception,9
414,2,18,4,3,4,6,0,27.869288,Deception,6
414,2,18,4,2,0,3,4,36.795053,Deception,7
414,2,18,8,3,5,6,3,35.97274,Deception,9
414,2,18,6,1,3,2,3,25.631713,Deception,5
414,2,18,8,3,2,6,6,26.943865,Deception,12
414,2,18,8,3,6,9,2,36.323219,Deception,11
414,2,18,6,1,5,1,1,19.77654,Deception,2
414,2,18,6,1,1,1,5,29.266807,Deception,6
414,2,18,4,1,1,5,3,28.601124,Deception,8
414,2,18,8,2,8,1,0,26.938936,Deception,1
414,2,18,8,2,5,4,3,28.813796,Deception,7
414,2,18,6,1,0,6,6,24.35844,Deception,12
413,2,19,6,1,2,1,4,35.144431,Deception,5
413,2,19,8,2,7,0,1,27.317562,Deception,1
413,2,19,4,3,1,4,3,32.744673,Deception,7
413,2,19,4,2,3,5,1,52.739695,Deception,6
413,2,19,8,3,3,2,5,26.825409,Deception,7
413,2,19,6,1,4,1,2,35.496991,Deception,3
413,2,19,4,2,0,3,4,29.158917,Deception,7
413,2,19,8,2,6,0,2,28.618321,Deception,2
413,2,19,8,1,2,1,6,24.474059,Deception,7
413,2,19,4,1,3,0,1,52.335348,Deception,1
413,2,19,4,3,1,4,3,38.731919,Deception,7
413,2,19,6,2,3,0,3,26.10457,Deception,3
413,2,19,6,1,4,0,2,34.692925,Deception,2
413,2,19,6,3,5,3,1,21.491577,Deception,4
413,2,19,4,2,1,3,3,23.689086,Deception,6
413,2,19,6,3,2,6,4,29.438645,Deception,10
413,2,19,8,3,4,0,4,24.910715,Deception,4
413,2,19,8,1,4,0,4,24.019727,Deception,4
412,2,20,8,3,3,1,5,12.649793,Deception,6
412,2,20,6,3,2,0,4,11.577075,Deception,4
412,2,20,4,2,0,3,4,8.7556293,Deception,7
412,2,20,4,2,1,0,3,16.21425,Deception,3
412,2,20,4,1,0,2,4,11.030695,Deception,6
412,2,20,6,1,0,2,6,11.230708,Deception,8
412,2,20,6,1,2,1,4,15.590649,Deception,5
412,2,20,8,3,4,0,4,12.248448,Deception,4
412,2,20,6,1,5,2,1,13.895451,Deception,3
412,2,20,4,3,4,2,0,13.0132,Deception,2
412,2,20,4,2,3,0,1,10.598136,Deception,1
412,2,20,6,2,4,0,2,11.767066,Deception,2
412,2,20,6,1,0,3,6,10.609272,Deception,9
412,2,20,4,3,0,1,4,7.8499967,Deception,5
412,2,20,8,2,5,3,3,11.401192,Deception,6
412,2,20,8,1,1,2,7,19.289985,Deception,9
412,2,20,8,3,0,1,8,8.3203671,Deception,9
412,2,20,8,2,2,0,6,9.9005269,Deception,6
411,1,19,8,1,4,0,4,17.778422,Deception,4
411,1,19,8,2,3,0,5,29.924556,Deception,5
411,1,19,8,1,3,1,5,40.177177,Deception,6
411,1,19,4,3,2,2,2,22.941185,Deception,4
411,1,19,4,2,0,2,4,9.8337078,Deception,6
411,1,19,8,2,8,0,0,39.632936,Deception,0
411,1,19,6,2,4,0,2,28.019407,Deception,2
411,1,19,8,2,8,1,0,26.468026,Deception,1
411,1,19,6,3,4,0,2,22.410375,Deception,2
411,1,19,4,3,0,0,4,27.331798,Deception,4
411,1,19,6,2,5,0,1,24.912298,Deception,1
411,1,19,6,1,0,0,6,6.1345113,Deception,6
411,1,19,4,3,1,2,3,8.8420783,Deception,5
411,1,19,8,1,7,0,1,20.049934,Deception,1
411,1,19,6,1,0,0,6,1.1776194,Deception,6
411,1,19,6,3,4,0,2,16.12422,Deception,2
411,1,19,4,3,3,0,1,16.303811,Deception,1
411,1,19,4,1,3,1,1,6.4615867,Deception,2
410,1,18,8,1,0,1,8,61.34747,Deception,9
410,1,18,8,3,5,2,3,35.463402,Deception,5
410,1,18,6,1,3,0,3,56.236511,Deception,3
410,1,18,4,1,1,0,3,48.060167,Deception,3
410,1,18,6,3,5,0,1,40.067491,Deception,1
410,1,18,6,1,4,0,2,37.033319,Deception,2
410,1,18,8,2,7,0,1,31.249164,Deception,1
410,1,18,6,1,3,0,3,49.062904,Deception,3
410,1,18,8,2,0,1,8,33.82149,Deception,9
410,1,18,8,2,5,0,3,34.717515,Deception,3
410,1,18,4,1,2,0,2,43.696846,Deception,2
410,1,18,4,3,3,0,1,27.214466,Deception,1
410,1,18,6,2,1,1,5,65.868721,Deception,6
410,1,18,6,3,4,0,2,36.18803,Deception,2
410,1,18,4,3,2,0,2,44.101044,Deception,2
410,1,18,4,3,2,0,2,44.641705,Deception,2
410,1,18,4,2,3,0,1,22.762106,Deception,1
410,1,18,8,2,2,0,6,24.964614,Deception,6
409,1,19,4,1,2,0,2,39.484207,Deception,2
409,1,19,6,1,2,0,4,21.539653,Deception,4
409,1,19,8,2,6,1,2,21.254674,Deception,3
409,1,19,6,3,1,4,5,27.333426,Deception,9
409,1,19,6,2,0,4,6,21.433523,Deception,10
409,1,19,6,3,2,1,4,19.666515,Deception,5
409,1,19,4,2,1,0,3,18.528373,Deception,3
409,1,19,8,2,3,1,5,20.420094,Deception,6
409,1,19,6,2,4,0,2,17.420616,Deception,2
409,1,19,8,3,3,0,5,17.940927,Deception,5
409,1,19,4,1,0,4,4,21.87204,Deception,8
409,1,19,4,3,3,1,1,17.007006,Deception,2
409,1,19,8,2,2,1,6,23.359626,Deception,7
409,1,19,8,3,4,0,4,16.826925,Deception,4
409,1,19,8,1,1,0,7,17.043136,Deception,7
409,1,19,4,1,1,4,3,17.963496,Deception,7
409,1,19,6,3,2,2,4,16.52608,Deception,6
409,1,19,4,1,2,0,2,16.794442,Deception,2
408,2,19,6,1,4,0,2,15.373985,Deception,2
408,2,19,4,2,3,1,1,15.496676,Deception,2
408,2,19,8,1,4,0,4,16.174161,Deception,4
408,2,19,6,3,5,1,1,23.488388,Deception,2
408,2,19,4,2,1,2,3,25.558437,Deception,5
408,2,19,4,3,1,2,3,18.618619,Deception,5
408,2,19,8,2,4,1,4,18.699207,Deception,5
408,2,19,6,2,1,1,5,21.152576,Deception,6
408,2,19,6,1,5,3,1,21.419577,Deception,4
408,2,19,8,1,2,1,6,25.405305,Deception,7
408,2,19,8,3,6,2,2,24.910171,Deception,4
408,2,19,6,2,2,2,4,19.259982,Deception,6
408,2,19,6,3,6,3,0,24.155236,Deception,3
408,2,19,8,1,0,0,8,15.359085,Deception,8
408,2,19,4,3,0,5,4,26.882006,Deception,9
408,2,19,4,2,4,1,0,16.105031,Deception,1
408,2,19,4,3,2,4,2,27.925593,Deception,6
408,2,19,8,1,7,0,1,15.835218,Deception,1
407,2,19,8,1,7,0,1,29.122698,Deception,1
407,2,19,4,3,1,0,3,37.462682,Deception,3
407,2,19,4,3,3,0,1,30.189724,Deception,1
407,2,19,6,1,5,0,1,28.28778,Deception,1
407,2,19,8,1,3,0,5,29.365114,Deception,5
407,2,19,4,2,2,0,2,45.83113,Deception,2
407,2,19,6,2,5,1,1,29.975853,Deception,2
407,2,19,4,2,0,1,4,37.929833,Deception,5
407,2,19,8,3,4,1,4,30.438237,Deception,5
407,2,19,4,3,2,3,2,53.517257,Deception,5
407,2,19,8,2,2,0,6,51.057912,Deception,6
407,2,19,8,2,3,0,5,45.537796,Deception,5
407,2,19,6,1,2,0,4,38.358708,Deception,4
407,2,19,6,1,2,0,4,52.664679,Deception,4
407,2,19,6,2,6,0,0,30.625346,Deception,0
407,2,19,8,1,4,0,4,67.010392,Deception,4
407,2,19,6,3,2,3,4,32.86062,Deception,7
407,2,19,4,3,0,4,4,77.345657,Deception,8
406,1,18,6,3,2,2,4,18.411533,Deception,6
406,1,18,4,1,0,1,4,14.636867,Deception,5
406,1,18,8,3,7,2,1,23.779555,Deception,3
406,1,18,8,2,2,0,6,15.990584,Deception,6
406,1,18,8,1,4,0,4,22.232229,Deception,4
406,1,18,6,2,1,0,5,11.472524,Deception,5
406,1,18,8,1,1,4,7,17.52683,Deception,11
406,1,18,6,1,0,2,6,35.705934,Deception,8
406,1,18,4,3,3,2,1,14.255834,Deception,3
406,1,18,4,3,3,0,1,16.318917,Deception,1
406,1,18,6,2,3,6,3,18.179195,Deception,9
406,1,18,4,3,0,5,4,14.261695,Deception,9
406,1,18,6,2,0,3,6,16.156636,Deception,9
406,1,18,6,2,0,3,6,13.143937,Deception,9
406,1,18,8,1,3,0,5,16.787762,Deception,5
406,1,18,4,3,1,7,3,22.101184,Deception,10
406,1,18,8,2,3,0,5,14.122189,Deception,5
406,1,18,4,1,2,2,2,16.958386,Deception,4
405,2,18,6,3,4,1,2,27.917867,Deception,3
405,2,18,6,2,3,0,3,28.386485,Deception,3
405,2,18,6,3,4,2,2,51.634961,Deception,4
405,2,18,8,1,4,0,4,26.332057,Deception,4
405,2,18,6,3,0,3,6,39.375172,Deception,9
405,2,18,4,3,3,1,1,34.594308,Deception,2
405,2,18,4,2,0,1,4,45.923321,Deception,5
405,2,18,8,2,1,1,7,28.064795,Deception,8
405,2,18,8,1,6,0,2,27.470706,Deception,2
405,2,18,4,2,1,2,3,26.405924,Deception,5
405,2,18,6,2,5,2,1,26.294822,Deception,3
405,2,18,8,3,6,2,2,19.30888,Deception,4
405,2,18,8,3,0,2,8,22.689703,Deception,10
405,2,18,4,1,1,0,3,34.031556,Deception,3
405,2,18,4,1,2,0,2,44.942109,Deception,2
405,2,18,4,1,0,2,4,19.531412,Deception,6
405,2,18,6,2,2,1,4,26.446658,Deception,5
405,2,18,8,1,1,1,7,58.196957,Deception,8
404,2,18,6,2,1,3,5,26.395845,Deception,8
404,2,18,6,1,4,2,2,36.604855,Deception,4
404,2,18,8,3,5,1,3,32.71762,Deception,4
404,2,18,4,3,2,3,2,33.009631,Deception,5
404,2,18,6,1,3,0,3,34.10593,Deception,3
404,2,18,4,3,4,2,0,51.166167,Deception,2
404,2,18,8,3,8,1,0,32.440834,Deception,1
404,2,18,8,2,4,1,4,48.479341,Deception,5
404,2,18,6,2,5,1,1,32.726246,Deception,2
404,2,18,6,1,6,0,0,28.76243,Deception,0
404,2,18,6,1,4,0,2,34.053506,Deception,2
404,2,18,8,1,7,0,1,25.412389,Deception,1
404,2,18,4,3,2,0,2,44.46029,Deception,2
404,2,18,4,2,3,3,1,39.123655,Deception,4
404,2,18,4,2,4,1,0,36.415387,Deception,1
404,2,18,4,1,3,0,1,43.990871,Deception,1
404,2,18,8,2,8,0,0,26.305773,Deception,0
404,2,18,8,3,4,1,4,42.392804,Deception,5
403,2,18,6,1,2,0,4,18.123386,Deception,4
403,2,18,4,2,2,1,2,17.743657,Deception,3
403,2,18,6,2,1,0,5,22.451147,Deception,5
403,2,18,4,3,4,2,0,25.298159,Deception,2
403,2,18,8,3,0,2,8,24.094844,Deception,10
403,2,18,8,1,1,0,7,23.908626,Deception,7
403,2,18,6,1,0,1,6,41.705124,Deception,7
403,2,18,4,2,1,1,3,32.135158,Deception,4
403,2,18,6,2,0,2,6,32.522557,Deception,8
403,2,18,8,2,2,0,6,28.431243,Deception,6
403,2,18,4,3,2,4,2,17.584537,Deception,6
403,2,18,4,1,0,1,4,14.865336,Deception,5
403,2,18,8,1,2,0,6,35.278469,Deception,6
403,2,18,6,3,0,2,6,16.933942,Deception,8
403,2,18,8,2,3,0,5,31.472949,Deception,5
403,2,18,8,3,3,1,5,16.383967,Deception,6
403,2,18,6,3,3,0,3,33.817193,Deception,3
403,2,18,4,1,2,0,2,18.418051,Deception,2
402,2,19,4,3,1,2,3,27.273393,Deception,5
402,2,19,8,2,7,3,1,29.56001,Deception,4
402,2,19,8,3,1,3,7,49.506185,Deception,10
402,2,19,8,1,2,0,6,16.585291,Deception,6
402,2,19,4,1,3,1,1,13.594888,Deception,2
402,2,19,6,2,0,0,6,15.524571,Deception,6
402,2,19,8,2,2,1,6,20.512856,Deception,7
402,2,19,4,3,4,4,0,30.557444,Deception,4
402,2,19,4,2,1,3,3,15.209436,Deception,6
402,2,19,8,2,0,2,8,23.465874,Deception,10
402,2,19,4,3,0,0,4,12.841171,Deception,4
402,2,19,6,3,3,2,3,18.544544,Deception,5
402,2,19,6,2,0,0,6,9.1167015,Deception,6
402,2,19,6,1,4,0,2,19.017152,Deception,2
402,2,19,6,1,0,5,6,70.182605,Deception,11
402,2,19,4,1,1,0,3,14.12368,Deception,3
402,2,19,6,1,1,3,5,20.751611,Deception,8
402,2,19,8,3,2,3,6,29.850261,Deception,9
401,1,19,4,3,0,2,4,53.674441,Deception,6
401,1,19,8,2,7,1,1,57.602218,Deception,2
401,1,19,4,1,2,3,2,69.059524,Deception,5
401,1,19,4,2,4,0,0,55.124627,Deception,0
401,1,19,8,1,7,0,1,55.931472,Deception,1
401,1,19,6,2,6,0,0,56.088272,Deception,0
401,1,19,6,1,0,2,6,74.510408,Deception,8
401,1,19,4,3,2,3,2,97.442889,Deception,5
401,1,19,8,3,5,6,3,92.036299,Deception,9
401,1,19,8,3,4,0,4,63.17591,Deception,4
401,1,19,6,1,5,1,1,55.323471,Deception,2
401,1,19,4,3,3,3,1,95.503147,Deception,4
401,1,19,4,3,0,3,4,65.471641,Deception,7
401,1,19,6,2,5,1,1,60.279394,Deception,2
401,1,19,8,2,5,1,3,86.97321,Deception,4
401,1,19,6,2,5,0,1,54.242893,Deception,1
401,1,19,8,1,3,1,5,58.42709,Deception,6
401,1,19,6,1,3,1,3,78.619799,Deception,4
366,1,20,8,3,7,4,1,25.300325,Deception,5
366,1,20,4,1,2,1,2,31.593933,Deception,3
366,1,20,6,3,0,1,6,9.5649307,Deception,7
366,1,20,8,2,1,1,7,20.894039,Deception,8
366,1,20,8,2,1,1,7,29.587934,Deception,8
366,1,20,4,2,1,1,3,40.805453,Deception,4
366,1,20,4,3,1,2,3,19.622907,Deception,5
366,1,20,6,2,3,0,3,89.932167,Deception,3
366,1,20,4,2,2,1,2,49.426425,Deception,3
366,1,20,6,1,0,3,6,26.756449,Deception,9
366,1,20,8,1,0,1,8,32.823547,Deception,9
366,1,20,4,3,0,3,4,48.663454,Deception,7
366,1,20,6,2,3,3,3,26.51129,Deception,6
366,1,20,6,1,0,1,6,42.627706,Deception,7
366,1,20,8,3,0,2,8,64.883265,Deception,10
366,1,20,8,1,3,0,5,156.46105,Deception,5
366,1,20,4,1,0,2,4,15.380834,Deception,6
366,1,20,6,3,1,1,5,10.310285,Deception,6
365,1,19,6,3,4,3,2,40.809309,Deception,5
365,1,19,6,2,3,0,3,34.730666,Deception,3
365,1,19,6,1,3,0,3,12.406575,Deception,3
365,1,19,4,2,1,0,3,19.342999,Deception,3
365,1,19,6,2,0,3,6,13.562488,Deception,9
365,1,19,4,2,3,0,1,11.317605,Deception,1
365,1,19,8,3,1,3,7,3.7935968,Deception,10
365,1,19,8,3,4,1,4,12.171498,Deception,5
365,1,19,6,1,4,1,2,12.068863,Deception,3
365,1,19,8,3,1,4,7,7.6591857,Deception,11
365,1,19,8,3,1,4,7,10.745587,Deception,11
365,1,19,4,1,1,3,3,9.1091393,Deception,6
365,1,19,6,1,1,4,5,9.4973245,Deception,9
365,1,19,4,2,0,5,4,12.150609,Deception,9
365,1,19,8,1,0,5,8,15.345106,Deception,13
365,1,19,8,1,5,3,3,25.971937,Deception,6
365,1,19,4,2,1,5,3,23.381824,Deception,8
365,1,19,4,3,1,5,3,13.127797,Deception,8
364,1,18,4,3,1,3,3,17.545763,Deception,6
364,1,18,4,1,1,2,3,26.932898,Deception,5
364,1,18,8,2,2,3,6,27.760552,Deception,9
364,1,18,4,1,2,0,2,27.379763,Deception,2
364,1,18,8,3,4,0,4,27.166121,Deception,4
364,1,18,4,1,1,3,3,22.080583,Deception,6
364,1,18,6,1,1,1,5,8.3591303,Deception,6
364,1,18,6,2,4,1,2,30.001439,Deception,3
364,1,18,6,2,3,0,3,23.954242,Deception,3
364,1,18,6,3,3,1,3,16.670081,Deception,4
364,1,18,6,3,4,0,2,19.539872,Deception,2
